CIDADE;UF_CIDADE;TIPO
Santa Rita do Tocantins;TO;
Santa Rita do Trivelato;MT;
Santa Rita Durão (Mariana);MG;Distrito
Santa Rosa;RS;
Santa Rosa (Capivari do Sul);RS;Distrito
Santa Rosa (Formosa);GO;Distrito
Santa Rosa (Iati);PE;Povoado
Santa Rosa (Palmeira das Missões);RS;Distrito
Santa Rosa (Serrita);PE;Povoado
Santa Rosa da Serra;MG;
Santa Rosa da Vigia (Vigia);PA;Distrito
Santa Rosa de Goiás;GO;
Santa Rosa de Lima;SC;
Santa Rosa de Lima;SE;
Santa Rosa de Lima (Montes Claros);MG;Distrito
Santa Rosa de Viterbo;SP;
Santa Rosa do Piauí;PI;
Santa Rosa do Purus;AC;
Santa Rosa do Sul;SC;
Santa Rosa do Tocantins;TO;
Santa Rosa dos Dourados (Coromandel);MG;Distrito
Santa Salete;SP;
Santa Silvana (Pelotas);RS;Distrito
Santa Teresa;ES;
Santa Teresa (Santana do Matos);RN;Distrito
Santa Teresa do Bonito (Peçanha);MG;Distrito
Santa Teresinha;BA;
Santa Teresinha;PB;
Santa Tereza;RS;
Santa Tereza (Aracati);CE;Distrito
Santa Tereza (Catuípe);RS;Distrito
Santa Tereza (Croatá);CE;Distrito
Santa Tereza (Tauá);CE;Distrito
Santa Tereza de Goiás;GO;
Santa Tereza do Oeste;PR;
Santa Tereza do Tocantins;TO;
Santa Terezinha;MT;
Santa Terezinha;PE;
Santa Terezinha;SC;
Santa Terezinha (Campina Grande);PB;Povoado
Santa Terezinha (Ecoporanga);ES;Distrito
Santa Terezinha (Itaporã);MS;Distrito
Santa Terezinha (Palmeira das Missões);RS;Distrito
Santa Terezinha (Soledade);RS;Distrito
Santa Terezinha (Água Preta);PE;Distrito
Santa Terezinha de Goiás;GO;
Santa Terezinha de Itaipu;PR;
Santa Terezinha do Progresso;SC;
Santa Terezinha do Rio Ferro (Nova Ubiratã);MT;Distrito
Santa Terezinha do Salto (Lages);SC;Distrito
Santa Terezinha do Tocantins;TO;
Santa Vitória;MG;
Santa Vitória do Palmar;RS;
Santa Zélia (Astorga);PR;Distrito
Santaluz;BA;
Santana;AP;
Santana;BA;
Santana (Chapada);RS;Distrito
Santana (Crateús);CE;Distrito
Santana (Cruz Machado);PR;Distrito
Santana (Erval Grande);RS;Distrito
Santana (Ijuí);RS;Distrito
Santana (São Sebastião do Uatumã);AM;Povoado
Santana da Boa Vista;RS;
Santana da Ponte Pensa;SP;
Santana da Serra (Capitão Enéas);MG;Distrito
Santana da Vargem;MG;
Santana de Caldas (Caldas);MG;Distrito
Santana de Cataguases;MG;
Santana de Mangueira;PB;
Santana de Parnaíba;SP;
Santana de Patos (Patos de Minas);MG;Distrito
Santana de Pirapama;MG;
Santana de São Joaquim (São Joaquim do Monte);PE;Distrito
Santana do Acaraú;CE;
Santana do Alfié (São Domingos do Prata);MG;Distrito
Santana do Araguaia;PA;
Santana do Araçuaí (Ponto dos Volantes);MG;Distrito
Santana do Campestre (Astolfo Dutra);MG;Distrito
Santana do Capivari (Pouso Alto);MG;Distrito
Santana do Cariri;CE;
Santana do Deserto;MG;
Santana do Garambéu;MG;
Santana do Ipanema;AL;
Santana do Itararé;PR;
Santana do Jacaré;MG;
Santana do Livramento;RS;
Santana do Manhuaçu;MG;
Santana do Maranhão;MA;
Santana do Matos;RN;
Santana do Mundaú;AL;
Santana do Paraopeba (Belo Vale);MG;Distrito
Santana do Paraíso;MG;
Santana do Piauí;PI;
Santana do Riacho;MG;
Santana do Seridó;RN;
Santana do Sobrado (Casa Nova);BA;Distrito
Santana do São Francisco;SE;
Santana do Tabuleiro (Raul Soares);MG;Distrito
Santana dos Garrotes;PB;
Santana dos Montes;MG;
Santaninha (Vila Rica);MT;Distrito
Santanésia (Piraí);RJ;Distrito
Santanópolis;BA;
Santarém;PA;
Santarém (Orós);CE;Povoado
Santarém Novo;PA;
Santelmo (Pederneiras);SP;Distrito
Santiago;RS;
Santiago do Iguapé (Cachoeira);BA;Distrito
Santiago do Sul;SC;
Santo Afonso;MT;
Santo Agostinho (Cabo de Santo Agostinho);PE;Distrito
Santo Agostinho (Água Doce do Norte);ES;Distrito
Santo Amaro;BA;
Santo Amaro (Sirinhaém);PE;Povoado
Santo Amaro da Imperatriz;SC;
Santo Amaro das Brotas;SE;
Santo Amaro de Campos (Campos dos Goytacazes);RJ;Distrito
Santo Amaro do Maranhão;MA;
Santo Amaro do Sul (General Câmara);RS;Distrito
Santo Anastácio;SP;
Santo André;PB;
Santo André;SP;
Santo André (Penaforte);CE;Distrito
Santo Antonio do Rio Bonito (Nova Ubiratã);MT;Distrito
Santo Antonio dos Pinheirinhos (Água Santa);RS;Distrito
Santo Antão (Santa Maria);RS;Distrito
Santo Antônio;RN;
Santo Antônio (Acopiara);CE;Distrito
Santo Antônio (Ararendá);CE;Distrito
Santo Antônio (Barra de São Francisco);ES;Distrito
Santo Antônio (Barro);CE;Distrito
Santo Antônio (Castro);PR;Povoado
Santo Antônio (Cerro Largo);RS;Distrito
Santo Antônio (Crateús);CE;Distrito
Santo Antônio (Guaporé);RS;Distrito
Santo Antônio (Ijuí);RS;Distrito
Santo Antônio (Laranjeiras do Sul);PR;Povoado
Santo Antônio (Mato Leitão);RS;Distrito
Santo Antônio (Palmeira dos Índios);AL;Povoado
Santo Antônio (Redenção);PA;Povoado
Santo Antônio (Santo Augusto);RS;Distrito
Santo Antônio (Teixeira de Freitas);BA;Povoado
Santo Antônio (Três Passos);RS;Distrito
Santo Antônio da Alegria;SP;
Santo Antônio da Barra;GO;
Santo Antônio da Boa Vista (São João da Ponte);MG;Distrito
Santo Antônio da Esperança (Santa Cruz de Goiás);GO;Distrito
Santo Antônio da Estiva (Pirajuí);SP;Distrito
Santo Antônio da Fortaleza (Ferros);MG;Distrito
Santo Antônio da Patrulha;RS;
Santo Antônio da Pindoba (Ibiapina);CE;Distrito
Santo Antônio da Platina;PR;
Santo Antônio da Vargem Alegre (Bonfim);MG;Distrito
Santo Antônio das Missões;RS;
Santo Antônio das Queimadas (Jurema);PE;Distrito
Santo Antônio de Barcelona (Caravelas);BA;Distrito
Santo Antônio de Castro (Carlos Barbosa);RS;Distrito
Santo Antônio de Goiás;GO;
Santo Antônio de Jesus;BA;
Santo Antônio de Lisboa;PI;
Santo Antônio de Posse;SP;
Santo Antônio de Pádua;RJ;
Santo Antônio do Amparo;MG;
Santo Antônio do Aracanguá;SP;
Santo Antônio do Aventureiro;MG;
Santo Antônio do Bom Retiro (Ibirubá);RS;Distrito
Santo Antônio do Boqueirão (Unaí);MG;Distrito
Santo Antônio do Caiuá;PR;
Santo Antônio do Canaã (Santa Teresa);ES;Distrito
Santo Antônio do Cruzeiro (Nepomuceno);MG;Distrito
Santo Antônio do Glória (Vieiras);MG;Distrito
Santo Antônio do Grama;MG;
Santo Antônio do Imbé (Santa Maria Madalena);RJ;Distrito
Santo Antônio do Iratim (Bituruna);PR;Distrito
Santo Antônio do Itambé;MG;
Santo Antônio do Içá;AM;
Santo Antônio do Jacinto;MG;
Santo Antônio do Jardim;SP;
Santo Antônio do Leite (Ouro Preto);MG;Distrito
Santo Antônio do Leste;MT;
Santo Antônio do Leverger;MT;
Santo Antônio do Manhuaçu (Caratinga);MG;Distrito
Santo Antônio do Matupi (Manicoré);AM;Povoado
Santo Antônio do Monte;MG;
Santo Antônio do Mucuri (Malacacheta);MG;Distrito
Santo Antônio do Muqui (Mimoso do Sul);ES;Distrito
Santo Antônio do Norte (Conceição do Mato Dentro);MG;Distrito
Santo Antônio do Palma;RS;
Santo Antônio do Palmital (Rio Bom);PR;Distrito
Santo Antônio do Paranapanema (Cândido Mota);SP;Distrito
Santo Antônio do Paraíso;PR;
Santo Antônio do Pinhal;SP;
Santo Antônio do Pirapetinga (Piranga);MG;Distrito
Santo Antônio do Planalto;RS;
Santo Antônio do Pontal (Governador Valadares);MG;Distrito
Santo Antônio do Porto (Governador Valadares);MG;Povoado
Santo Antônio do Pousalegre (Boa Esperança);ES;Distrito
Santo Antônio do Quinze (Nova Venécia);ES;Distrito
Santo Antônio do Retiro;MG;
Santo Antônio do Rio Abaixo;MG;
Santo Antônio do Rio Grande (Fronteira);MG;Distrito
Santo Antônio do Rio Verde (Catalão);GO;Distrito
Santo Antônio do Salto (Ouro Preto);MG;Distrito
Santo Antônio do Sudoeste;PR;
Santo Antônio do Tauá;PA;
Santo Antônio dos Araújos (São Sebastião do Maranhão);MG;Distrito
Santo Antônio dos Fernandes (Meruoca);CE;Distrito
Santo Antônio dos Lopes;MA;
Santo Antônio dos Milagres;PI;
Santo Antônio dos Palmares (Palmares);PE;Distrito
Santo Augusto;RS;
Santo Cristo;RS;
Santo Eduardo (Campos dos Goytacazes);RJ;Distrito
Santo Estêvão;BA;
Santo Expedito;SP;
Santo Expedito do Sul;RS;
Santo Hilário (Pimenta);MG;Distrito
Santo Hipólito;MG;
Santo Inácio;PR;
Santo Inácio (Bom Jesus);RS;Distrito
Santo Inácio (Gentio do Ouro);BA;Distrito
Santo Inácio do Piauí;PI;
Santo Izidoro (Três Barras do Paraná);PR;Distrito
Santo Rei (Nova Cantu);PR;Distrito
Santo Ângelo;RS;
Santos;SP;
Santos Dumont;MG;
Santíssima Trindade (Iúna);ES;Distrito
Santópolis do Aguapeí;SP;
Sapeaçu;BA;
Sapezal;MT;
Sapezal (Paraguaçu Paulista);SP;Distrito
Sapiranga;RS;
Sapiranga (Meleiro);SC;Distrito
Sapo (Santana do Acaraú);CE;Distrito
Sapopema;PR;
Sapucaia;PA;
Sapucaia;RJ;
Sapucaia (Arapiraca);AL;Povoado
Sapucaia (Atalaia);AL;Distrito
Sapucaia (Caratinga);MG;Distrito
Sapucaia (Marilândia);ES;Distrito
Sapucaia de Guanhães (Guanhães);MG;Distrito
Sapucaia do Norte (Galiléia);MG;Distrito
Sapucaia do Sul;RS;
Sapucarana (Bezerros);PE;Distrito
Sapucaí (Jacutinga);MG;Distrito
Sapucaí-Mirim;MG;
Sapupara (Maranguape);CE;Distrito
Sapé;PB;
Sapé (Tomazina);PR;Distrito
Saquarema;RJ;
Saquinho (Jaguaruana);CE;Distrito
Saraiva (Santa Cruz do Sul);RS;Distrito
Sarandi;PR;
Sarandi;RS;
Sarandi (Itumbiara);GO;Povoado
Sarandi (Santa Izabel do Oeste);PR;Distrito
Sarandira (Juiz de Fora);MG;Distrito
Sarapuí;SP;
Sardoá;MG;
Sarutaiá;SP;
Sarzedo;MG;
Satuba;AL;
Satubinha;MA;
Saubara;BA;
Saudade (Mar de Espanha);MG;Distrito
Saudade do Iguaçu;PR;
Saudades;SC;
Saudável (Brotas de Macaúbas);BA;Distrito
Saué (Rio Formoso);PE;Distrito
Saúde;BA;
Schroeder;SC;
Seabra;BA;
Seara;SC;
Sebastianópolis do Sul;SP;
Sebastião Barros;PI;
Sebastião de Abreu (Pentecoste);CE;Distrito
Sebastião de Lacerda (Vassouras);RJ;Distrito
Sebastião Laranjeiras;BA;
Sebastião Leal;PI;
Seberi;RS;
Sede Alvorada (Cascavel);PR;Distrito
Sede Aurora (Quinze de Novembro);RS;Distrito
Sede Chaparral (Toledo);PR;Povoado
Sede Independência (Passo Fundo);RS;Distrito
Sede Nova;RS;
Sede Nova Sant'Ana (São Jorge D'Oeste);PR;Distrito
Sede Oldemburg (Palmitos);SC;Distrito
Sede Progresso (Verê);PR;Distrito
Segredo;RS;
Segredo (Ipê);RS;Distrito
Seival (Bagé);RS;Distrito
Seival (Candiota);RS;Distrito
Selbach;RS;
Selma (Jaciara);MT;Distrito
Selva (Londrina);PR;Povoado
Selvíria;MS;
Sem Peixe;MG;
Sena Madureira;AC;
Senador Alexandre Costa;MA;
Senador Amaral;MG;
Senador Canedo;GO;
Senador Cortes;MG;
Senador Elói de Souza;RN;
Senador Firmino;MG;
Senador Georgino Avelino;RN;
Senador Guiomard;AC;
Senador José Bento;MG;
Senador José Porfírio;PA;
Senador La Rocque;MA;
Senador Modestino Gonçalves;MG;
Senador Mourão (Diamantina);MG;Distrito
Senador Pompeu;CE;
Senador Rui Palmeira;AL;
Senador Salgado Filho;RS;
Senador Sá;CE;
Sengés;PR;
Senhor Bom Jesus dos Gramados (Mariópolis);PR;Distrito
Senhor do Bonfim;BA;
Senhora da Glória (Santo Hipólito);MG;Distrito
Senhora da Penha (Fernandes Tourinho);MG;Distrito
Senhora de Oliveira;MG;
Senhora do Porto;MG;
Senhora dos Remédios;MG;
Sentinela do Sul;RS;
Sento Sé;BA;
Serafim Schmidt (Sinimbu);RS;Distrito
Serafina Corrêa;RS;
Sereno (Cataguases);MG;Distrito
Sereno de Cima (Ocara);CE;Distrito
Sergi (São Gonçalo dos Campos);BA;Distrito
Sericita;MG;
Seridó (São Vicente do Seridó);PB;Distrito
Seringueiras;RO;
Seritinga;MG;
Seropédica;RJ;
Serra;ES;
Serra Alta;SC;
Serra Azul;SP;
Serra Azul (Mateus Leme);MG;Distrito
Serra Azul de Minas;MG;
Serra Bonita (Buritis);MG;Distrito
Serra Branca;PB;
Serra Branca (Ipubi);PE;Distrito
Serra Caiada;RN;
Serra da Cachoeira (Vertentes);PE;Povoado
Serra da Canabrava (Uauá);BA;Distrito
Serra da Canastra (São Roque de Minas);MG;Distrito
Serra da Mandioca (Palmeira dos Índios);AL;Povoado
Serra da Raiz;PB;
Serra da Saudade;MG;
Serra da Tapuia (Sítio Novo);RN;Distrito
Serra das Araras (Chapada Gaúcha);MG;Distrito
Serra de São Bento;RN;
Serra do Camapuã (Entre Rios de Minas);MG;Distrito
Serra do Cipó (Santana do Riacho);MG;Distrito
Serra do Félix (Beberibe);CE;Distrito
Serra do Mel;RN;
Serra do Navio;AP;
Serra do Pontão (Coqueiros do Sul);RS;Distrito
Serra do Ramalho;BA;
Serra do Salitre;MG;
Serra do São Francisco (Carinhanha);BA;Distrito
Serra do São José (Palmeira dos Índios);AL;Povoado
Serra do Vento (Belo Jardim);PE;Distrito
Serra dos Aimorés;MG;
Serra dos Dourados (Umuarama);PR;Distrito
Serra dos Gregórios (Esmeralda);RS;Distrito
Serra dos Lemes (Cabo Verde);MG;Distrito
Serra Dourada;BA;
Serra Dourada (Fazenda Nova);GO;Distrito
Serra Grande;PB;
Serra Grande (Cícero Dantas);BA;Distrito
Serra Grande (Valença);BA;Distrito
Serra Negra;SP;
Serra Negra (Bezerros);PE;Povoado
Serra Negra (Guaraqueçaba);PR;Distrito
Serra Negra do Norte;RN;
Serra Nova (Rio Pardo de Minas);MG;Distrito
Serra Nova Dourada;MT;
Serra Pelada (Afonso Cláudio);ES;Distrito
Serra Pelada (Marabá);PA;Povoado
Serra Preta;BA;
Serra Redonda;PB;
Serra Talhada;PE;
Serragem (Ocara);CE;Distrito
Serrana;SP;
Serrana (Brejões);BA;Distrito
Serrania;MG;
Serrano do Maranhão;MA;
Serranos;MG;
Serranópolis;GO;
Serranópolis de Minas;MG;
Serranópolis do Iguaçu;PR;
Serraria;PB;
Serraria Klas (Ponta Grossa);PR;Povoado
Serrinha;BA;
Serrinha;RN;
Serrinha (Bom Jesus do Itabapoana);RJ;Distrito
Serrinha (Cambé);PR;Povoado
Serrinha (Campos dos Goytacazes);RJ;Distrito
Serrinha (Castro);PR;Povoado
Serrinha (São Luiz Gonzaga);RS;Distrito
Serrinha da Prata (Saloá);PE;Povoado
Serrinha dos Pintos;RN;
Serrinha Velha (Segredo);RS;Distrito
Serrita;PE;
Serro;MG;
Serrolândia;BA;
Serrolândia (Ipubi);PE;Distrito
Serrota (Barro);CE;Distrito
Serrota (Senador Sá);CE;Distrito
Serrote (Iguatu);CE;Distrito
Serrote (São Gonçalo do Amarante);CE;Distrito
Serrote do Meio (Itapajé);CE;Distrito
Serrote do Urubu (Petrolina);PE;Povoado
Serrote dos Bois de Cima (Caruaru);PE;Povoado
Sertaneja;PR;
Sertanópolis;PR;
Sertânia;PE;
Sertão;RS;
Sertão Santana;RS;
Sertãozinho;PB;
Sertãozinho;SP;
Sertãozinho (Alpestre);RS;Distrito
Sertãozinho (Borda da Mata);MG;Distrito
Sertãozinho (Engenheiro Beltrão);PR;Distrito
Sertãozinho de Baixo (Maraial);PE;Distrito
Sete Barras;SP;
Sete Cachoeiras (Ferros);MG;Distrito
Sete de Setembro;RS;
Sete de Setembro (Erval Grande);RS;Distrito
Sete de Setembro (Santa Rosa);RS;Distrito
Sete Lagoas;MG;
Sete Lagoas (Itatiba do Sul);RS;Distrito
Sete Quedas;MS;
Sete Saltos de Cima (Ponta Grossa);PR;Povoado
Setubinha;MG;
Severiano de Almeida;RS;
Severiano Melo;RN;
Severínia;SP;
Siderópolis;SC;
Sidrolândia;MS;
Sigefredo Pacheco;PI;
Silva Campos (Pompéu);MG;Distrito
Silva Jardim;RJ;
Silva Jardim (Serafina Corrêa);RS;Distrito
Silvanópolis;TO;
Silveira (São José dos Ausentes);RS;Distrito
Silveira Carvalho (Barão de Monte Alto);MG;Distrito
Silveira Martins;RS;
Silveiras;SP;
Silveirânia;MG;
Silves;AM;
Silvianópolis;MG;
Silvânia;GO;
Simolândia;GO;
Simonésia;MG;
Simplício Mendes;PI;
Simão (Porteiras);CE;Distrito
Simão Campos (São João da Ponte);MG;Distrito
Simão Dias;SE;
Simão Pereira;MG;
Simões;PI;
Simões (Cafelândia);SP;Distrito
Simões Filho;BA;
Sinimbu;RS;
Sinop;MT;
Siqueira Belo (Barracão);PR;Distrito
Siqueira Campos;PR;
Siriji (São Vicente Ferrer);PE;Distrito
Sirinhaém;PE;
Siriri;SE;
Sitiá (Banabuiú);CE;Distrito
Siupê (São Gonçalo do Amarante);CE;Distrito
Soares (América Dourada);BA;Distrito
Sobradinho;BA;
Sobradinho;RS;
Sobrado;PB;
Sobral;CE;
Sobral Pinto (Astolfo Dutra);MG;Distrito
Sobreiro (Laranja da Terra);ES;Distrito
Sobrália;MG;
Socavão (Castro);PR;Distrito
Socorro;SP;
Socorro do Piauí;PI;
Sodrelândia (Trajano de Moraes);RJ;Distrito
Sodrélia (Santa Cruz do Rio Pardo);SP;Distrito
Soledade;PB;
Soledade;RS;
Soledade (Itapajé);CE;Distrito
Soledade de Minas;MG;
Solidão;PE;
Solidão (Acopiara);CE;Distrito
Solonópole;CE;
Solânea;PB;
Sombrio;SC;
Sonho Azul (Mirassol D'Oeste);MT;Distrito
Sonora;MS;
Sooretama;ES;
Sopa (Diamantina);MG;Distrito
Sorocaba;SP;
Sorocaba do Sul (Biguaçu);SC;Distrito
Sorriso;MT;
Sossego;PB;
Sossego (Santa Maria Madalena);RJ;Distrito
Sossego (Santo Ângelo);RS;Distrito
Soure;PA;
Sousa;PB;
Sousânia (Anápolis);GO;Distrito
Souto Neto (Ponte Preta);RS;Distrito
Souto Soares;BA;
Souza Ramos (Getúlio Vargas);RS;Distrito
Souzalândia (Barro Alto);GO;Distrito
Suassurana (Iguatu);CE;Distrito
Subaio (Cachoeiras de Macacu);RJ;Distrito
Subaúma (Entre Rios);BA;Distrito
Sucanga (Poté);MG;Distrito
Sucatinga (Beberibe);CE;Distrito
Sucesso (Tamboril);CE;Distrito
Sucupira;TO;
Sucupira do Norte;MA;
Sucupira do Riachão;MA;
Sucuriju (Amapá);AP;Distrito
Sucuru (Serra Branca);PB;Distrito
Sud Mennucci;SP;
Suinana (Altair);SP;Distrito
Sul Brasil;SC;
Sulina;PR;
Sumaré;SP;
Sumaré I (São João das Missões);MG;Distrito
Sumidouro;RJ;
Sumidouro (Diamantino);MT;Distrito
Sumé;PB;
Surubim;PE;
Suspiro (São Gabriel);RS;Distrito
Sussuanha (Guaraciaba do Norte);CE;Distrito
Sussuapara;PI;
Sussuarana (Tanhaçu);BA;Distrito
Sussui (Engenheiro Beltrão);PR;Distrito
Sussui (Palmital);SP;Distrito
Sutis (Londrina);PR;Povoado
Suzano;SP;
Suzanápolis;SP;
Sátiro Dias;BA;
São Bartolomeu (Cabo Verde);MG;Distrito
São Bartolomeu (Cariús);CE;Distrito
São Bartolomeu (Ouro Preto);MG;Distrito
São Bartolomeu de Sem Peixe (Sem Peixe);MG;Distrito
São Benedito;CE;
São Benedito da Cachoeirinha (Ituverava);SP;Distrito
São Benedito das Areias (Mococa);SP;Distrito
São Benedito do Rio Preto;MA;
São Benedito do Sul;PE;
São Bentinho;PB;
São Bento;MA;
São Bento;PB;
São Bento (Carazinho);RS;Distrito
São Bento (Palmeira das Missões);RS;Distrito
São Bento Abade;MG;
São Bento Baixo (Nova Veneza);SC;Distrito
São Bento de Caldas (Santa Rita de Caldas);MG;Distrito
São Bento do Norte;RN;
São Bento do Sapucaí;SP;
São Bento do Sul;SC;
São Bento do Tocantins;TO;
São Bento do Trairi;RN;
São Bento do Una;PE;
São Bernardino;SC;
São Bernardo;MA;
São Bernardo (Luís Gomes);RN;Distrito
São Bernardo (Quixadá);CE;Distrito
São Bernardo do Campo;SP;
São Berto (Manduri);SP;Distrito
São Bom Jesus (Erval Seco);RS;Distrito
São Bonifácio;SC;
São Borja;RS;
São Braz (Cascavel);PR;Povoado
São Braz (Lagamar);MG;Distrito
São Braz (Pato Branco);PR;Povoado
São Braz do Piauí;PI;
São Brás;AL;
São Brás do Suaçuí;MG;
São Caetano (Água Santa);RS;Distrito
São Caetano de Odivelas;PA;
São Caetano do Navio (Betânia);PE;Distrito
São Caetano do Sul;SP;
São Caitano;PE;
São Camilo (Palotina);PR;Distrito
São Carlos;SC;
São Carlos;SP;
São Carlos (Porto Velho);RO;Distrito
São Carlos (Rosário do Sul);RS;Distrito
São Carlos do Ivaí;PR;
São Cirilo (Castro);PR;Povoado
São Clemente (Santa Helena);PR;Distrito
São Cristovão (Paranavaí);PR;Povoado
São Cristovão (União da Vitória);PR;Distrito
São Cristóvão;SE;
São Cristóvão (Três Barras);SC;Distrito
São Cristóvão do Sul;SC;
São Cândido (Caratinga);MG;Distrito
São Desidério;BA;
São Domingos;BA;
São Domingos;GO;
São Domingos;PB;
São Domingos;SC;
São Domingos;SE;
São Domingos (Apucarana);PR;Povoado
São Domingos (Brejo da Madre de Deus);PE;Distrito
São Domingos (Caridade);CE;Distrito
São Domingos (Cruzmaltina);PR;Distrito
São Domingos (Santo Antônio do Aventureiro);MG;Distrito
São Domingos (União da Vitória);PR;Distrito
São Domingos da Bocaina (Lima Duarte);MG;Distrito
São Domingos das Dores;MG;
São Domingos do Araguaia;PA;
São Domingos do Azeitão;MA;
São Domingos do Capim;PA;
São Domingos do Cariri;PB;
São Domingos do Maranhão;MA;
São Domingos do Norte;ES;
São Domingos do Prata;MG;
São Domingos do Sul;RS;
São Felipe;BA;
São Felipe (Brejo Santo);CE;Distrito
São Felipe (São Gabriel da Cachoeira);AM;Distrito
São Felipe D'Oeste;RO;
São Felix (Mauriti);CE;Distrito
São Fernando;RN;
São Fidélis;RJ;
São Francisco;MG;
São Francisco;PB;
São Francisco;SE;
São Francisco;SP;
São Francisco (Cerro Largo);RS;Distrito
São Francisco (Chopinzinho);PR;Distrito
São Francisco (Guarapuava);PR;Povoado
São Francisco (Meruoca);CE;Distrito
São Francisco (Quiterianópolis);CE;Distrito
São Francisco (São Domingos do Norte);ES;Povoado
São Francisco (Umuarama);PR;Povoado
São Francisco da Jararaca (Muaná);PA;Distrito
São Francisco de Assis;RS;
São Francisco de Assis do Piauí;PI;
São Francisco de Goiás;GO;
São Francisco de Imbaú (Congonhinhas);PR;Distrito
São Francisco de Itabapoana;RJ;
São Francisco de Paula;MG;
São Francisco de Paula;RS;
São Francisco de Sales;MG;
São Francisco de Sales (Clevelândia);PR;Distrito
São Francisco do Brejão;MA;
São Francisco do Brígida (Serrita);PE;Povoado
São Francisco do Conde;BA;
São Francisco do Glória;MG;
São Francisco do Guaporé;RO;
São Francisco do Humaitá (Mutum);MG;Distrito
São Francisco do Maranhão;MA;
São Francisco do Oeste;RN;
São Francisco do Pará;PA;
São Francisco do Piauí;PI;
São Francisco do Sul;SC;
São Francisco Xavier do Guandu (Afonso Cláudio);ES;Distrito
São Félix;BA;
São Félix de Balsas;MA;
São Félix de Minas;MG;
São Félix do Araguaia;MT;
São Félix do Coribe;BA;
São Félix do Piauí;PI;
São Félix do Tocantins;TO;
São Félix do Xingu;PA;
São Gabriel;BA;
São Gabriel;RS;
São Gabriel (Cambé);PR;Povoado
São Gabriel (Colombo);PR;Povoado
São Gabriel (Treze de Maio);SC;Distrito
São Gabriel da Cachoeira;AM;
São Gabriel da Palha;ES;
São Gabriel do Oeste;MS;
São Geraldo;MG;
São Geraldo (Caraúbas);RN;Distrito
São Geraldo (Coração de Jesus);MG;Distrito
São Geraldo (Mantenópolis);ES;Distrito
São Geraldo da Piedade;MG;
São Geraldo de Tumiritinga (Tumiritinga);MG;Distrito
São Geraldo do Araguaia;PA;
São Geraldo do Baguari (São João Evangelista);MG;Distrito
São Geraldo do Baixio;MG;
São Gonçalo;RJ;
São Gonçalo (Sousa);PB;Povoado
São Gonçalo (São José dos Ausentes);RS;Distrito
São Gonçalo de Botelhos (Botelhos);MG;Distrito
São Gonçalo do Abaeté;MG;
São Gonçalo do Amarante;CE;
São Gonçalo do Amarante;RN;
São Gonçalo do Gurguéia;PI;
São Gonçalo do Monte (Itabirito);MG;Distrito
São Gonçalo do Pará;MG;
São Gonçalo do Piauí;PI;
São Gonçalo do Rio das Pedras (Serro);MG;Distrito
São Gonçalo do Rio Preto;MG;
São Gonçalo do Sapucaí;MG;
São Gonçalo do Umari (Mombaça);CE;Distrito
São Gonçalo dos Campos;BA;
São Gotardo;MG;
São Gotardo (Pato Branco);PR;Povoado
São Jacinto (São Roque do Canaã);ES;Distrito
São Jerônimo;RS;
São Jerônimo da Serra;PR;
São Jerônimo dos Poções (Campos Altos);MG;Distrito
São Joaquim;SC;
São Joaquim (Arapongas);PR;Povoado
São Joaquim (Cardoso Moreira);RJ;Distrito
São Joaquim (Coração de Jesus);MG;Distrito
São Joaquim (Guarapuava);PR;Povoado
São Joaquim (Januária);MG;Distrito
São Joaquim (Tangará da Serra);MT;Distrito
São Joaquim (Umirim);CE;Distrito
São Joaquim da Barra;SP;
São Joaquim de Bicas;MG;
São Joaquim do Monte;PE;
São Joaquim do Pacuí (Macapá);AP;Distrito
São Joaquim do Pontal (Itambaracá);PR;Distrito
São Joaquim do Salgado (Senador Pompeu);CE;Distrito
São Joaquim do Tapará (Santarém);PA;Povoado
São Joaquim dos Melos (Tuntum);MA;Distrito
São Jorge;RS;
São Jorge (Alto Paraíso de Goiás);GO;Distrito
São Jorge (Comodoro);MT;Distrito
São Jorge (Santarém);PA;Povoado
São Jorge D'Oeste;PR;
São Jorge da Barra Seca (Vila Valério);ES;Distrito
São Jorge do Ivaí;PR;
São Jorge do Oliveira (Brejetuba);ES;Distrito
São Jorge do Patrocínio;PR;
São Jorge do Tiradentes (Rio Bananal);ES;Distrito
São José;SC;
São José (Abaiara);CE;Distrito
São José (Alto Alegre);RS;Distrito
São José (Comodoro);MT;Distrito
São José (Ipueiras);CE;Distrito
São José (Iracema);CE;Distrito
São José (Jandaia do Sul);PR;Distrito
São José (Palhano);CE;Distrito
São José (Panelas);PE;Distrito
São José (Planalto);RS;Distrito
São José (Saboeiro);CE;Distrito
São José (Santa Maria do Oeste);PR;Distrito
São José (Santo Antônio das Missões);RS;Distrito
São José (São Miguel das Missões);RS;Distrito
São José (Vicentina);MS;Distrito
São José da Barra;MG;
São José da Bela Vista;SP;
São José da Bela Vista (São Gotardo);MG;Distrito
São José da Boa Vista;PR;
São José da Coroa Grande;PE;
São José da Figueira (Durandé);MG;Distrito
São José da Glória (Victor Graeff);RS;Distrito
São José da Lagoa Tapada;PB;
São José da Laje;AL;
São José da Lapa;MG;
São José da Mata (Campina Grande);PB;Distrito
São José da Passagem (Santana do Matos);RN;Distrito
